title,price,rating,date,name,source,link
Welcome to Python.org,999.0,4.2,2026-04-08 05:24:58.507589,,,
"
    All products | Books to Scrape - Sandbox
",999.0,4.2,2026-04-08 05:41:27.535998,,,
No Title,999.0,4.2,2026-04-08 05:46:09.223310,,,
No Title,999.0,4.2,2026-04-08 05:46:10.811781,,,
,,,,Amazon.in,Website,https://www.amazon.in/dp/B0C1H26C46
,,,,iPhone - Apple (IN),Website,https://www.apple.com/in/iphone-13/
,,,,Amazon.in,Website,https://www.amazon.in/dp/B0C1H26C46
,,,,Amazon.in,Website,https://www.amazon.in/dp/B0C1H26C46
,,,,Flipkart reCAPTCHA,Website,https://www.flipkart.com/redmi-12-5g-icy-silver-128-gb/p/itm8b3d0c8f3b1a1
,,,,Welcome to Python.org,Website,https://www.python.org/
,,,,Flipkart reCAPTCHA,Website,https://www.flipkart.com/redmi-12-5g-icy-silver-128-gb/p/itm8b3d0c8f3b1a1
,,,,Flipkart reCAPTCHA,Website,https://www.flipkart.com/redmi-12-5g-icy-silver-128-gb/p/itm8b3d0c8f3b1a1
,,,,Flipkart reCAPTCHA,Website,https://www.flipkart.com/redmi-12-5g-icy-silver-128-gb/p/itm8b3d0c8f3b1a1
,,,,Flipkart reCAPTCHA,Website,https://www.flipkart.com/redmi-12-5g-icy-silver-128-gb/p/itm8b3d0c8f3b1a1
,,,,Flipkart reCAPTCHA,Website,https://www.flipkart.com/redmi-12-5g-icy-silver-128-gb/p/itm8b3d0c8f3b1a1
,N/A,,,Flipkart reCAPTCHA,Website,https://www.flipkart.com/redmi-12-5g-icy-silver-128-gb/p/itm8b3d0c8f3b1a1
